Outlet,Date,PLU,Item,Qty,Amount
AL QUSAIS,26/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL QUSAIS,26/08/2026,53b,COFFEE MILK FLASK 2L,2,120.00
AL QUSAIS,26/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL QUSAIS,26/08/2026,54b,HABBAT AL HAMRA 2L,2,140.00
AL QUSAIS,26/08/2026,55a,CAPPUCCINO SML,27,135.00
AL QUSAIS,26/08/2026,55b,CAPPUCCINO LRG,17,136.00
AL QUSAIS,26/08/2026,56a,SAHALAB SML,16,80.00
AL QUSAIS,26/08/2026,56b,SAHALAB LRG,20,160.00
AL QUSAIS,26/08/2026,57a,KASHMIRI TEA SML,21,105.00
AL QUSAIS,26/08/2026,57b,KASHMIRI TEA LRG,17,136.00
AL QUSAIS,26/08/2026,58a,BOOST SML,22,110.00
AL QUSAIS,26/08/2026,58b,BOOST LRG,27,216.00
AL QUSAIS,26/08/2026,59a,HORLICKS SML,24,120.00
AL QUSAIS,26/08/2026,59b,HORLICKS LRG,18,144.00
AL QUSAIS,26/08/2026,60a,HOT CHOC SML,23,115.00
AL QUSAIS,26/08/2026,60b,HOT CHOC LRG,16,128.00
AL QUSAIS,26/08/2026,61,HONEY CAKE,8,88.00
AL QUSAIS,26/08/2026,62,ZAFRAN CAKE,6,84.00
AL QUSAIS,26/08/2026,63,LOTUS CAKE,7,77.00
AL QUSAIS,26/08/2026,64a,KARAK DELIVERY S,28,42.00
AL QUSAIS,26/08/2026,64b,KARAK DELIVERY M,27,81.00
AL QUSAIS,26/08/2026,64c,KARAK DELIVERY L,23,115.00
AL QUSAIS,26/08/2026,126,B/CHKN,4,68.00
AL QUSAIS,26/08/2026,127,CHKN WINGS,4,72.00
AL QUSAIS,26/08/2026,128,CHKN 65 DRY,5,85.00
AL QUSAIS,26/08/2026,129,DAL FRY,6,60.00
AL QUSAIS,26/08/2026,130,GREEN PEAS MSL,7,70.00
AL QUSAIS,26/08/2026,131,CHKN CHILLI,5,85.00
AL QUSAIS,26/08/2026,132,BEEF MSL,5,85.00
AL QUSAIS,26/08/2026,133,PRAWNS MSL,4,68.00
AL QUSAIS,26/08/2026,134,GARLIC CHKN,5,85.00
AL QUSAIS,26/08/2026,135,MTR MSHRM,5,75.00
AL QUSAIS,26/08/2026,136,PNR KADAI,3,45.00
AL QUSAIS,26/08/2026,137,PALAK PNR,5,60.00
AL QUSAIS,26/08/2026,138,MSHRM MSL,7,70.00
AL QUSAIS,26/08/2026,139,CHKN KADAI,4,64.00
AL QUSAIS,26/08/2026,140,PNR BTR MSL,5,85.00
AL QUSAIS,26/08/2026,141,PRAWNS CHILLI,4,68.00
AL QUSAIS,26/08/2026,142,CHILLI PNR,5,85.00
AL QUSAIS,26/08/2026,143,MTR PNR,5,85.00
AL QUSAIS,26/08/2026,144,CHKN MANCHURIAN,5,85.00
AL QUSAIS,26/08/2026,145,GOBI MSL,4,68.00
AL QUSAIS,26/08/2026,146,PEPPER CHKN,3,51.00
AL QUSAIS,26/08/2026,DLV,DELIVERY CHARGE,7,35.00
AL QUSAIS,27/08/2026,52a,KARAK FLASK 1L,2,70.00
AL QUSAIS,27/08/2026,52b,KARAK FLASK 2L,1,55.00
AL QUSAIS,27/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL QUSAIS,27/08/2026,53b,COFFEE MILK FLASK 2L,2,120.00
AL QUSAIS,27/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL QUSAIS,27/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL QUSAIS,27/08/2026,55a,CAPPUCCINO SML,20,100.00
AL QUSAIS,27/08/2026,55b,CAPPUCCINO LRG,20,160.00
AL QUSAIS,27/08/2026,56a,SAHALAB SML,25,125.00
AL QUSAIS,27/08/2026,56b,SAHALAB LRG,27,216.00
AL QUSAIS,27/08/2026,57a,KASHMIRI TEA SML,16,80.00
AL QUSAIS,27/08/2026,57b,KASHMIRI TEA LRG,23,184.00
AL QUSAIS,27/08/2026,58a,BOOST SML,29,145.00
AL QUSAIS,27/08/2026,58b,BOOST LRG,23,184.00
AL QUSAIS,27/08/2026,59a,HORLICKS SML,26,130.00
AL QUSAIS,27/08/2026,59b,HORLICKS LRG,27,216.00
AL QUSAIS,27/08/2026,60a,HOT CHOC SML,19,95.00
AL QUSAIS,27/08/2026,60b,HOT CHOC LRG,19,152.00
AL QUSAIS,27/08/2026,61,HONEY CAKE,6,66.00
AL QUSAIS,27/08/2026,62,ZAFRAN CAKE,6,84.00
AL QUSAIS,27/08/2026,63,LOTUS CAKE,8,88.00
AL QUSAIS,27/08/2026,64a,KARAK DELIVERY S,27,40.50
AL QUSAIS,27/08/2026,64b,KARAK DELIVERY M,34,102.00
AL QUSAIS,27/08/2026,64c,KARAK DELIVERY L,18,90.00
AL QUSAIS,27/08/2026,126,B/CHKN,4,68.00
AL QUSAIS,27/08/2026,127,CHKN WINGS,6,108.00
AL QUSAIS,27/08/2026,128,CHKN 65 DRY,5,85.00
AL QUSAIS,27/08/2026,129,DAL FRY,5,50.00
AL QUSAIS,27/08/2026,130,GREEN PEAS MSL,6,60.00
AL QUSAIS,27/08/2026,131,CHKN CHILLI,4,68.00
AL QUSAIS,27/08/2026,132,BEEF MSL,5,85.00
AL QUSAIS,27/08/2026,133,PRAWNS MSL,3,51.00
AL QUSAIS,27/08/2026,134,GARLIC CHKN,5,85.00
AL QUSAIS,27/08/2026,135,MTR MSHRM,3,45.00
AL QUSAIS,27/08/2026,136,PNR KADAI,4,60.00
AL QUSAIS,27/08/2026,137,PALAK PNR,6,72.00
AL QUSAIS,27/08/2026,138,MSHRM MSL,5,50.00
AL QUSAIS,27/08/2026,139,CHKN KADAI,5,80.00
AL QUSAIS,27/08/2026,140,PNR BTR MSL,5,85.00
AL QUSAIS,27/08/2026,141,PRAWNS CHILLI,5,85.00
AL QUSAIS,27/08/2026,142,CHILLI PNR,4,68.00
AL QUSAIS,27/08/2026,143,MTR PNR,4,68.00
AL QUSAIS,27/08/2026,144,CHKN MANCHURIAN,5,85.00
AL QUSAIS,27/08/2026,145,GOBI MSL,6,102.00
AL QUSAIS,27/08/2026,146,PEPPER CHKN,3,51.00
AL QUSAIS,27/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL QUSAIS,28/08/2026,52a,KARAK FLASK 1L,4,140.00
AL QUSAIS,28/08/2026,52b,KARAK FLASK 2L,1,55.00
AL QUSAIS,28/08/2026,53a,COFFEE MILK FLASK 1L,2,100.00
AL QUSAIS,28/08/2026,53b,COFFEE MILK FLASK 2L,2,120.00
AL QUSAIS,28/08/2026,54a,HABBAT AL HAMRA 1L,2,100.00
AL QUSAIS,28/08/2026,54b,HABBAT AL HAMRA 2L,2,140.00
AL QUSAIS,28/08/2026,55a,CAPPUCCINO SML,25,125.00
AL QUSAIS,28/08/2026,55b,CAPPUCCINO LRG,22,176.00
AL QUSAIS,28/08/2026,56a,SAHALAB SML,32,160.00
AL QUSAIS,28/08/2026,56b,SAHALAB LRG,30,240.00
AL QUSAIS,28/08/2026,57a,KASHMIRI TEA SML,22,110.00
AL QUSAIS,28/08/2026,57b,KASHMIRI TEA LRG,33,264.00
AL QUSAIS,28/08/2026,58a,BOOST SML,26,130.00
AL QUSAIS,28/08/2026,58b,BOOST LRG,23,184.00
AL QUSAIS,28/08/2026,59a,HORLICKS SML,26,130.00
AL QUSAIS,28/08/2026,59b,HORLICKS LRG,21,168.00
AL QUSAIS,28/08/2026,60a,HOT CHOC SML,28,140.00
AL QUSAIS,28/08/2026,60b,HOT CHOC LRG,25,200.00
AL QUSAIS,28/08/2026,61,HONEY CAKE,6,66.00
AL QUSAIS,28/08/2026,62,ZAFRAN CAKE,8,112.00
AL QUSAIS,28/08/2026,63,LOTUS CAKE,6,66.00
AL QUSAIS,28/08/2026,64a,KARAK DELIVERY S,32,48.00
AL QUSAIS,28/08/2026,64b,KARAK DELIVERY M,29,87.00
AL QUSAIS,28/08/2026,64c,KARAK DELIVERY L,31,155.00
AL QUSAIS,28/08/2026,126,B/CHKN,7,119.00
AL QUSAIS,28/08/2026,127,CHKN WINGS,6,108.00
AL QUSAIS,28/08/2026,128,CHKN 65 DRY,6,102.00
AL QUSAIS,28/08/2026,129,DAL FRY,7,70.00
AL QUSAIS,28/08/2026,130,GREEN PEAS MSL,6,60.00
AL QUSAIS,28/08/2026,131,CHKN CHILLI,4,68.00
AL QUSAIS,28/08/2026,132,BEEF MSL,4,68.00
AL QUSAIS,28/08/2026,133,PRAWNS MSL,4,68.00
AL QUSAIS,28/08/2026,134,GARLIC CHKN,5,85.00
AL QUSAIS,28/08/2026,135,MTR MSHRM,5,75.00
AL QUSAIS,28/08/2026,136,PNR KADAI,4,60.00
AL QUSAIS,28/08/2026,137,PALAK PNR,7,84.00
AL QUSAIS,28/08/2026,138,MSHRM MSL,6,60.00
AL QUSAIS,28/08/2026,139,CHKN KADAI,7,112.00
AL QUSAIS,28/08/2026,140,PNR BTR MSL,6,102.00
AL QUSAIS,28/08/2026,141,PRAWNS CHILLI,6,102.00
AL QUSAIS,28/08/2026,142,CHILLI PNR,4,68.00
AL QUSAIS,28/08/2026,143,MTR PNR,5,85.00
AL QUSAIS,28/08/2026,144,CHKN MANCHURIAN,6,102.00
AL QUSAIS,28/08/2026,145,GOBI MSL,6,102.00
AL QUSAIS,28/08/2026,146,PEPPER CHKN,6,102.00
AL QUSAIS,28/08/2026,DLV,DELIVERY CHARGE,7,35.00
AL QUSAIS,29/08/2026,52a,KARAK FLASK 1L,3,105.00
AL QUSAIS,29/08/2026,52b,KARAK FLASK 2L,2,110.00
AL QUSAIS,29/08/2026,53a,COFFEE MILK FLASK 1L,2,100.00
AL QUSAIS,29/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL QUSAIS,29/08/2026,54a,HABBAT AL HAMRA 1L,2,100.00
AL QUSAIS,29/08/2026,54b,HABBAT AL HAMRA 2L,2,140.00
AL QUSAIS,29/08/2026,55a,CAPPUCCINO SML,36,180.00
AL QUSAIS,29/08/2026,55b,CAPPUCCINO LRG,24,192.00
AL QUSAIS,29/08/2026,56a,SAHALAB SML,27,135.00
AL QUSAIS,29/08/2026,56b,SAHALAB LRG,34,272.00
AL QUSAIS,29/08/2026,57a,KASHMIRI TEA SML,37,185.00
AL QUSAIS,29/08/2026,57b,KASHMIRI TEA LRG,36,288.00
AL QUSAIS,29/08/2026,58a,BOOST SML,22,110.00
AL QUSAIS,29/08/2026,58b,BOOST LRG,22,176.00
AL QUSAIS,29/08/2026,59a,HORLICKS SML,35,175.00
AL QUSAIS,29/08/2026,59b,HORLICKS LRG,26,208.00
AL QUSAIS,29/08/2026,60a,HOT CHOC SML,37,185.00
AL QUSAIS,29/08/2026,60b,HOT CHOC LRG,27,216.00
AL QUSAIS,29/08/2026,61,HONEY CAKE,9,99.00
AL QUSAIS,29/08/2026,62,ZAFRAN CAKE,9,126.00
AL QUSAIS,29/08/2026,63,LOTUS CAKE,6,66.00
AL QUSAIS,29/08/2026,64a,KARAK DELIVERY S,27,40.50
AL QUSAIS,29/08/2026,64b,KARAK DELIVERY M,47,141.00
AL QUSAIS,29/08/2026,64c,KARAK DELIVERY L,23,115.00
AL QUSAIS,29/08/2026,126,B/CHKN,7,119.00
AL QUSAIS,29/08/2026,127,CHKN WINGS,6,108.00
AL QUSAIS,29/08/2026,128,CHKN 65 DRY,5,85.00
AL QUSAIS,29/08/2026,129,DAL FRY,6,60.00
AL QUSAIS,29/08/2026,130,GREEN PEAS MSL,5,50.00
AL QUSAIS,29/08/2026,131,CHKN CHILLI,7,119.00
AL QUSAIS,29/08/2026,132,BEEF MSL,5,85.00
AL QUSAIS,29/08/2026,133,PRAWNS MSL,5,85.00
AL QUSAIS,29/08/2026,134,GARLIC CHKN,6,102.00
AL QUSAIS,29/08/2026,135,MTR MSHRM,7,105.00
AL QUSAIS,29/08/2026,136,PNR KADAI,5,75.00
AL QUSAIS,29/08/2026,137,PALAK PNR,6,72.00
AL QUSAIS,29/08/2026,138,MSHRM MSL,9,90.00
AL QUSAIS,29/08/2026,139,CHKN KADAI,6,96.00
AL QUSAIS,29/08/2026,140,PNR BTR MSL,5,85.00
AL QUSAIS,29/08/2026,141,PRAWNS CHILLI,7,119.00
AL QUSAIS,29/08/2026,142,CHILLI PNR,5,85.00
AL QUSAIS,29/08/2026,143,MTR PNR,6,102.00
AL QUSAIS,29/08/2026,144,CHKN MANCHURIAN,5,85.00
AL QUSAIS,29/08/2026,145,GOBI MSL,6,102.00
AL QUSAIS,29/08/2026,146,PEPPER CHKN,4,68.00
AL QUSAIS,29/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL QUSAIS,30/08/2026,52a,KARAK FLASK 1L,3,105.00
AL QUSAIS,30/08/2026,52b,KARAK FLASK 2L,1,55.00
AL QUSAIS,30/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL QUSAIS,30/08/2026,53b,COFFEE MILK FLASK 2L,2,120.00
AL QUSAIS,30/08/2026,54a,HABBAT AL HAMRA 1L,2,100.00
AL QUSAIS,30/08/2026,54b,HABBAT AL HAMRA 2L,2,140.00
AL QUSAIS,30/08/2026,55a,CAPPUCCINO SML,28,140.00
AL QUSAIS,30/08/2026,55b,CAPPUCCINO LRG,25,200.00
AL QUSAIS,30/08/2026,56a,SAHALAB SML,20,100.00
AL QUSAIS,30/08/2026,56b,SAHALAB LRG,28,224.00
AL QUSAIS,30/08/2026,57a,KASHMIRI TEA SML,27,135.00
AL QUSAIS,30/08/2026,57b,KASHMIRI TEA LRG,25,200.00
AL QUSAIS,30/08/2026,58a,BOOST SML,24,120.00
AL QUSAIS,30/08/2026,58b,BOOST LRG,17,136.00
AL QUSAIS,30/08/2026,59a,HORLICKS SML,22,110.00
AL QUSAIS,30/08/2026,59b,HORLICKS LRG,24,192.00
AL QUSAIS,30/08/2026,60a,HOT CHOC SML,23,115.00
AL QUSAIS,30/08/2026,60b,HOT CHOC LRG,24,192.00
AL QUSAIS,30/08/2026,61,HONEY CAKE,5,55.00
AL QUSAIS,30/08/2026,62,ZAFRAN CAKE,6,84.00
AL QUSAIS,30/08/2026,63,LOTUS CAKE,5,55.00
AL QUSAIS,30/08/2026,64a,KARAK DELIVERY S,27,40.50
AL QUSAIS,30/08/2026,64b,KARAK DELIVERY M,37,111.00
AL QUSAIS,30/08/2026,64c,KARAK DELIVERY L,18,90.00
AL QUSAIS,30/08/2026,126,B/CHKN,3,51.00
AL QUSAIS,30/08/2026,127,CHKN WINGS,5,90.00
AL QUSAIS,30/08/2026,128,CHKN 65 DRY,5,85.00
AL QUSAIS,30/08/2026,129,DAL FRY,7,70.00
AL QUSAIS,30/08/2026,130,GREEN PEAS MSL,5,50.00
AL QUSAIS,30/08/2026,131,CHKN CHILLI,6,102.00
AL QUSAIS,30/08/2026,132,BEEF MSL,3,51.00
AL QUSAIS,30/08/2026,133,PRAWNS MSL,5,85.00
AL QUSAIS,30/08/2026,134,GARLIC CHKN,5,85.00
AL QUSAIS,30/08/2026,135,MTR MSHRM,4,60.00
AL QUSAIS,30/08/2026,136,PNR KADAI,5,75.00
AL QUSAIS,30/08/2026,137,PALAK PNR,4,48.00
AL QUSAIS,30/08/2026,138,MSHRM MSL,7,70.00
AL QUSAIS,30/08/2026,139,CHKN KADAI,3,48.00
AL QUSAIS,30/08/2026,140,PNR BTR MSL,5,85.00
AL QUSAIS,30/08/2026,141,PRAWNS CHILLI,4,68.00
AL QUSAIS,30/08/2026,142,CHILLI PNR,4,68.00
AL QUSAIS,30/08/2026,143,MTR PNR,4,68.00
AL QUSAIS,30/08/2026,144,CHKN MANCHURIAN,4,68.00
AL QUSAIS,30/08/2026,145,GOBI MSL,5,85.00
AL QUSAIS,30/08/2026,146,PEPPER CHKN,4,68.00
AL QUSAIS,30/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL QUSAIS,31/08/2026,52a,KARAK FLASK 1L,3,105.00
AL QUSAIS,31/08/2026,52b,KARAK FLASK 2L,2,110.00
AL QUSAIS,31/08/2026,53a,COFFEE MILK FLASK 1L,2,100.00
AL QUSAIS,31/08/2026,53b,COFFEE MILK FLASK 2L,2,120.00
AL QUSAIS,31/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL QUSAIS,31/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL QUSAIS,31/08/2026,55a,CAPPUCCINO SML,21,105.00
AL QUSAIS,31/08/2026,55b,CAPPUCCINO LRG,26,208.00
AL QUSAIS,31/08/2026,56a,SAHALAB SML,21,105.00
AL QUSAIS,31/08/2026,56b,SAHALAB LRG,28,224.00
AL QUSAIS,31/08/2026,57a,KASHMIRI TEA SML,17,85.00
AL QUSAIS,31/08/2026,57b,KASHMIRI TEA LRG,22,176.00
AL QUSAIS,31/08/2026,58a,BOOST SML,25,125.00
AL QUSAIS,31/08/2026,58b,BOOST LRG,24,192.00
AL QUSAIS,31/08/2026,59a,HORLICKS SML,23,115.00
AL QUSAIS,31/08/2026,59b,HORLICKS LRG,20,160.00
AL QUSAIS,31/08/2026,60a,HOT CHOC SML,24,120.00
AL QUSAIS,31/08/2026,60b,HOT CHOC LRG,26,208.00
AL QUSAIS,31/08/2026,61,HONEY CAKE,5,55.00
AL QUSAIS,31/08/2026,62,ZAFRAN CAKE,4,56.00
AL QUSAIS,31/08/2026,63,LOTUS CAKE,6,66.00
AL QUSAIS,31/08/2026,64a,KARAK DELIVERY S,30,45.00
AL QUSAIS,31/08/2026,64b,KARAK DELIVERY M,25,75.00
AL QUSAIS,31/08/2026,64c,KARAK DELIVERY L,20,100.00
AL QUSAIS,31/08/2026,126,B/CHKN,4,68.00
AL QUSAIS,31/08/2026,127,CHKN WINGS,4,72.00
AL QUSAIS,31/08/2026,128,CHKN 65 DRY,3,51.00
AL QUSAIS,31/08/2026,129,DAL FRY,4,40.00
AL QUSAIS,31/08/2026,130,GREEN PEAS MSL,5,50.00
AL QUSAIS,31/08/2026,131,CHKN CHILLI,5,85.00
AL QUSAIS,31/08/2026,132,BEEF MSL,5,85.00
AL QUSAIS,31/08/2026,133,PRAWNS MSL,5,85.00
AL QUSAIS,31/08/2026,134,GARLIC CHKN,5,85.00
AL QUSAIS,31/08/2026,135,MTR MSHRM,6,90.00
AL QUSAIS,31/08/2026,136,PNR KADAI,4,60.00
AL QUSAIS,31/08/2026,137,PALAK PNR,4,48.00
AL QUSAIS,31/08/2026,138,MSHRM MSL,7,70.00
AL QUSAIS,31/08/2026,139,CHKN KADAI,5,80.00
AL QUSAIS,31/08/2026,140,PNR BTR MSL,5,85.00
AL QUSAIS,31/08/2026,141,PRAWNS CHILLI,5,85.00
AL QUSAIS,31/08/2026,142,CHILLI PNR,4,68.00
AL QUSAIS,31/08/2026,143,MTR PNR,4,68.00
AL QUSAIS,31/08/2026,144,CHKN MANCHURIAN,4,68.00
AL QUSAIS,31/08/2026,145,GOBI MSL,4,68.00
AL QUSAIS,31/08/2026,146,PEPPER CHKN,3,51.00
AL QUSAIS,31/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL NAHDA,25/08/2026,52a,KARAK FLASK 1L,2,70.00
AL NAHDA,25/08/2026,52b,KARAK FLASK 2L,1,55.00
AL NAHDA,25/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL NAHDA,25/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL NAHDA,25/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL NAHDA,25/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL NAHDA,25/08/2026,55a,CAPPUCCINO SML,17,85.00
AL NAHDA,25/08/2026,55b,CAPPUCCINO LRG,20,160.00
AL NAHDA,25/08/2026,56a,SAHALAB SML,14,70.00
AL NAHDA,25/08/2026,56b,SAHALAB LRG,16,128.00
AL NAHDA,25/08/2026,57a,KASHMIRI TEA SML,15,75.00
AL NAHDA,25/08/2026,57b,KASHMIRI TEA LRG,16,128.00
AL NAHDA,25/08/2026,58a,BOOST SML,19,95.00
AL NAHDA,25/08/2026,58b,BOOST LRG,14,112.00
AL NAHDA,25/08/2026,59a,HORLICKS SML,20,100.00
AL NAHDA,25/08/2026,59b,HORLICKS LRG,21,168.00
AL NAHDA,25/08/2026,60a,HOT CHOC SML,17,85.00
AL NAHDA,25/08/2026,60b,HOT CHOC LRG,18,144.00
AL NAHDA,25/08/2026,61,HONEY CAKE,5,55.00
AL NAHDA,25/08/2026,62,ZAFRAN CAKE,4,56.00
AL NAHDA,25/08/2026,63,LOTUS CAKE,5,55.00
AL NAHDA,25/08/2026,64a,KARAK DELIVERY S,18,27.00
AL NAHDA,25/08/2026,64b,KARAK DELIVERY M,29,87.00
AL NAHDA,25/08/2026,64c,KARAK DELIVERY L,21,105.00
AL NAHDA,25/08/2026,126,B/CHKN,3,51.00
AL NAHDA,25/08/2026,127,CHKN WINGS,4,72.00
AL NAHDA,25/08/2026,128,CHKN 65 DRY,3,51.00
AL NAHDA,25/08/2026,129,DAL FRY,6,60.00
AL NAHDA,25/08/2026,130,GREEN PEAS MSL,3,30.00
AL NAHDA,25/08/2026,131,CHKN CHILLI,3,51.00
AL NAHDA,25/08/2026,132,BEEF MSL,3,51.00
AL NAHDA,25/08/2026,133,PRAWNS MSL,3,51.00
AL NAHDA,25/08/2026,134,GARLIC CHKN,3,51.00
AL NAHDA,25/08/2026,135,MTR MSHRM,3,45.00
AL NAHDA,25/08/2026,136,PNR KADAI,4,60.00
AL NAHDA,25/08/2026,137,PALAK PNR,4,48.00
AL NAHDA,25/08/2026,138,MSHRM MSL,5,50.00
AL NAHDA,25/08/2026,139,CHKN KADAI,3,48.00
AL NAHDA,25/08/2026,140,PNR BTR MSL,4,68.00
AL NAHDA,25/08/2026,141,PRAWNS CHILLI,4,68.00
AL NAHDA,25/08/2026,142,CHILLI PNR,3,51.00
AL NAHDA,25/08/2026,143,MTR PNR,4,68.00
AL NAHDA,25/08/2026,144,CHKN MANCHURIAN,4,68.00
AL NAHDA,25/08/2026,145,GOBI MSL,3,51.00
AL NAHDA,25/08/2026,146,PEPPER CHKN,3,51.00
AL NAHDA,25/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL NAHDA,26/08/2026,52a,KARAK FLASK 1L,2,70.00
AL NAHDA,26/08/2026,52b,KARAK FLASK 2L,1,55.00
AL NAHDA,26/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL NAHDA,26/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL NAHDA,26/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL NAHDA,26/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL NAHDA,26/08/2026,55a,CAPPUCCINO SML,21,105.00
AL NAHDA,26/08/2026,55b,CAPPUCCINO LRG,19,152.00
AL NAHDA,26/08/2026,56a,SAHALAB SML,15,75.00
AL NAHDA,26/08/2026,56b,SAHALAB LRG,15,120.00
AL NAHDA,26/08/2026,57a,KASHMIRI TEA SML,21,105.00
AL NAHDA,26/08/2026,57b,KASHMIRI TEA LRG,18,144.00
AL NAHDA,26/08/2026,58a,BOOST SML,13,65.00
AL NAHDA,26/08/2026,58b,BOOST LRG,13,104.00
AL NAHDA,26/08/2026,59a,HORLICKS SML,12,60.00
AL NAHDA,26/08/2026,59b,HORLICKS LRG,13,104.00
AL NAHDA,26/08/2026,60a,HOT CHOC SML,17,85.00
AL NAHDA,26/08/2026,60b,HOT CHOC LRG,17,136.00
AL NAHDA,26/08/2026,61,HONEY CAKE,5,55.00
AL NAHDA,26/08/2026,62,ZAFRAN CAKE,3,42.00
AL NAHDA,26/08/2026,63,LOTUS CAKE,4,44.00
AL NAHDA,26/08/2026,64a,KARAK DELIVERY S,19,28.50
AL NAHDA,26/08/2026,64b,KARAK DELIVERY M,29,87.00
AL NAHDA,26/08/2026,64c,KARAK DELIVERY L,19,95.00
AL NAHDA,26/08/2026,126,B/CHKN,4,68.00
AL NAHDA,26/08/2026,127,CHKN WINGS,4,72.00
AL NAHDA,26/08/2026,128,CHKN 65 DRY,3,51.00
AL NAHDA,26/08/2026,129,DAL FRY,5,50.00
AL NAHDA,26/08/2026,130,GREEN PEAS MSL,3,30.00
AL NAHDA,26/08/2026,131,CHKN CHILLI,4,68.00
