Outlet,Date,PLU,Item,Qty,Amount
AL QUSAIS,07/08/2026,5,PARATHA,22,66.00
AL QUSAIS,07/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL NAHDA,01/08/2026,1,KARAK TEA CUP,14,70.00
AL NAHDA,01/08/2026,2,KARAK FLASK 1L,1,35.00
AL NAHDA,01/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL NAHDA,01/08/2026,4,NIDO TEA,12,96.00
AL NAHDA,01/08/2026,5,PARATHA,20,60.00
AL NAHDA,01/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL NAHDA,02/08/2026,1,KARAK TEA CUP,9,45.00
AL NAHDA,02/08/2026,2,KARAK FLASK 1L,2,70.00
AL NAHDA,02/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL NAHDA,02/08/2026,4,NIDO TEA,14,112.00
AL NAHDA,02/08/2026,5,PARATHA,18,54.00
AL NAHDA,02/08/2026,DLV,DELIVERY CHARGE,4,20.00
AL NAHDA,03/08/2026,1,KARAK TEA CUP,8,40.00
AL NAHDA,03/08/2026,2,KARAK FLASK 1L,1,35.00
AL NAHDA,03/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL NAHDA,03/08/2026,4,NIDO TEA,9,72.00
AL NAHDA,03/08/2026,5,PARATHA,15,45.00
AL NAHDA,03/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL NAHDA,04/08/2026,1,KARAK TEA CUP,12,60.00
AL NAHDA,04/08/2026,2,KARAK FLASK 1L,1,35.00
AL NAHDA,04/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL NAHDA,04/08/2026,4,NIDO TEA,8,64.00
AL NAHDA,04/08/2026,5,PARATHA,19,57.00
AL NAHDA,04/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL NAHDA,05/08/2026,1,KARAK TEA CUP,14,70.00
AL NAHDA,05/08/2026,2,KARAK FLASK 1L,1,35.00
AL NAHDA,05/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL NAHDA,05/08/2026,4,NIDO TEA,12,96.00
AL NAHDA,05/08/2026,5,PARATHA,13,39.00
AL NAHDA,05/08/2026,DLV,DELIVERY CHARGE,4,20.00
AL NAHDA,06/08/2026,1,KARAK TEA CUP,12,60.00
AL NAHDA,06/08/2026,2,KARAK FLASK 1L,1,35.00
AL NAHDA,06/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL NAHDA,06/08/2026,4,NIDO TEA,12,96.00
AL NAHDA,06/08/2026,5,PARATHA,16,48.00
AL NAHDA,06/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL NAHDA,07/08/2026,1,KARAK TEA CUP,14,70.00
AL NAHDA,07/08/2026,2,KARAK FLASK 1L,2,70.00
AL NAHDA,07/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL NAHDA,07/08/2026,4,NIDO TEA,10,80.00
AL NAHDA,07/08/2026,5,PARATHA,21,63.00
AL NAHDA,07/08/2026,DLV,DELIVERY CHARGE,6,30.00
ROLLA,01/08/2026,1,KARAK TEA CUP,14,70.00
ROLLA,01/08/2026,2,KARAK FLASK 1L,1,35.00
ROLLA,01/08/2026,3,CARDAMOM CHAI 2L,1,55.00
ROLLA,01/08/2026,4,NIDO TEA,13,104.00
ROLLA,01/08/2026,5,PARATHA,18,54.00
ROLLA,01/08/2026,DLV,DELIVERY CHARGE,4,20.00
ROLLA,02/08/2026,1,KARAK TEA CUP,6,30.00
ROLLA,02/08/2026,2,KARAK FLASK 1L,1,35.00
ROLLA,02/08/2026,4,NIDO TEA,9,72.00
ROLLA,02/08/2026,5,PARATHA,12,36.00
ROLLA,02/08/2026,DLV,DELIVERY CHARGE,5,25.00
ROLLA,03/08/2026,1,KARAK TEA CUP,6,30.00
ROLLA,03/08/2026,2,KARAK FLASK 1L,1,35.00
ROLLA,03/08/2026,3,CARDAMOM CHAI 2L,1,55.00
ROLLA,03/08/2026,4,NIDO TEA,8,64.00
ROLLA,03/08/2026,5,PARATHA,13,39.00
ROLLA,03/08/2026,DLV,DELIVERY CHARGE,5,25.00
ROLLA,04/08/2026,1,KARAK TEA CUP,6,30.00
ROLLA,04/08/2026,2,KARAK FLASK 1L,1,35.00
ROLLA,04/08/2026,3,CARDAMOM CHAI 2L,1,55.00
ROLLA,04/08/2026,4,NIDO TEA,9,72.00
ROLLA,04/08/2026,5,PARATHA,13,39.00
ROLLA,04/08/2026,DLV,DELIVERY CHARGE,5,25.00
ROLLA,05/08/2026,1,KARAK TEA CUP,8,40.00
ROLLA,05/08/2026,2,KARAK FLASK 1L,1,35.00
ROLLA,05/08/2026,3,CARDAMOM CHAI 2L,1,55.00
ROLLA,05/08/2026,4,NIDO TEA,8,64.00
ROLLA,05/08/2026,5,PARATHA,15,45.00
ROLLA,05/08/2026,DLV,DELIVERY CHARGE,3,15.00
ROLLA,06/08/2026,1,KARAK TEA CUP,10,50.00
ROLLA,06/08/2026,2,KARAK FLASK 1L,1,35.00
ROLLA,06/08/2026,3,CARDAMOM CHAI 2L,1,55.00
ROLLA,06/08/2026,4,NIDO TEA,11,88.00
ROLLA,06/08/2026,5,PARATHA,13,39.00
ROLLA,06/08/2026,DLV,DELIVERY CHARGE,3,15.00
ROLLA,07/08/2026,1,KARAK TEA CUP,10,50.00
ROLLA,07/08/2026,2,KARAK FLASK 1L,1,35.00
ROLLA,07/08/2026,3,CARDAMOM CHAI 2L,1,55.00
ROLLA,07/08/2026,4,NIDO TEA,7,56.00
ROLLA,07/08/2026,5,PARATHA,17,51.00
ROLLA,07/08/2026,DLV,DELIVERY CHARGE,3,15.00
TOTAL,,,,,7004.00
